Dock_Lang,Crediteur,OrderNummer,Status,Ingebracht door,Referentie,Besteld aantal,Besteld KG
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,64874,KLAAR,Oscar van Osenbruggen,Wagen 1 van 2,60,0
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,64875,KLAAR,Oscar van Osenbruggen,Wagen 2 van 2,60,0
Leveren tussen 07:00 t/m 12:00,BANNINK PACKAGING,64136,0 %,Wilbert Vallen,10600164,25.000,0
Leveren tussen 07:00 t/m 12:00,BLANA,64572,0 %,Antoon Appeldoorn,groep 156,800.000,0
Leveren tussen 07:00 t/m 12:00,BLANA,64626,0 %,Antoon Appeldoorn,groep 131,160.000,0
Leveren tussen 07:00 t/m 12:00,BLANA,64636,0 %,Antoon Appeldoorn,groep 14,54.000,0
Leveren tussen 07:00 t/m 20:00,"JUICE HOUSE, THE",64754,0 %,Aad Vis,IQF aardbei,836,20.900
Leveren tussen 07:00 t/m 20:00,MAGAZIJN VAN SOEST,64584,0 %,Aad Vis,Auto 1,120,19.200
Leveren tussen 09:00 t/m 11:00,ALCA TRADING CORPORATION,61740,0 %,Johan Kleinjan,ALCA-50195,160,40.000
Leveren tussen 09:00 t/m 11:00,FRUITMASTERS VEILING,64891,0 %,Aad Vis,Peren,15,4.500
-,B.M.P. BULK MEDICINES,64524,0 %,Aad Vis,               ,4,100
-,DE GROOT INTERNATIONAL B.V,64932,0 %,Aad Vis,               ,16,0
-,H&S COLDSTORES,64624,0 %,Aad Vis,Arca boxen,20,20.000
