Dock_Lang,Crediteur,OrderNummer,Status,Ingebracht door,Referentie,Besteld aantal,Besteld KG
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,64972,KLAAR,Oscar van Osenbruggen,Wagen 2 van 3,60,0
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,64973,KLAAR,Oscar van Osenbruggen,Wagen 3 van 3,60,0
Leveren tussen 07:00 t/m 12:00,ECO2CLEAN,64866,0 %,Wilbert Vallen,               ,50,0
Leveren tussen 07:00 t/m 12:00,RHUMVELD WINTER & KONIJN,64468,0 %,Johan Kleinjan,               ,30,680
Leveren tussen 07:00 t/m 20:00,BIOFRESHI PRODUCE,65035,0 %,Aad Vis,               ,30,300
Leveren tussen 07:00 t/m 20:00,HILLFRESH INTERNATIONAL,64938,0 %,Aad Vis,               ,130,1.690
Leveren tussen 07:00 t/m 20:00,VAN VUGT KRUIDEN,65001,0 %,Aad Vis,               ,6,30
Leveren tussen 09:00 t/m 11:00,APPOLONIA,64900,"50,0%",Aad Vis,Red Prince,120,18.000
Leveren tussen 09:00 t/m 11:00,FRUITMASTERS VEILING,64820,0 %,Aad Vis,Jonagold,66,19.800
Leveren tussen 10:00 t/m 13:30,SALUD FOODGROUP,62649,0 %,Johan Kleinjan,               ,1.200,12.000
-,NATIVA ORGANICS SAC,65033,KLAAR,Aad Vis,               ,40,25.800
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,66977,KLAAR,Oscar van Osenbruggen,Wagen 1 van 3,60,0
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,66978,KLAAR,Oscar van Osenbruggen,Wagen 2 van 3,60,0
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,66979,KLAAR,Oscar van Osenbruggen,Wagen 3 van 3,64,0
Citrus,AGROLAND,66993,0 %,Aad Vis,210065,600,360.000
Citrus,MAGRABI,67003,0 %,Aad Vis,203331,40,25.460
Citrus,MAGRABI,67004,0 %,Aad Vis,203418,40,24.940
Leveren tussen 07:00 t/m 09:00,FOSSA EUGENIA,66775,0 %,Aad Vis,               ,180,900
Leveren tussen 07:00 t/m 12:00,BLANA,66537,0 %,Antoon Appeldoorn,groep 38,522.000,0
Leveren tussen 07:00 t/m 20:00,EOSTA,66837,0 %,Aad Vis,BIO gember,37,503
Leveren tussen 07:00 t/m 20:00,FAIRTRASA HOLLAND (EUR),66510,0 %,Aad Vis,BIO kurkuma,1,979
Leveren tussen 07:00 t/m 20:00,HILLFRESH INTERNATIONAL,66861,0 %,Aad Vis,               ,130,1.690
Leveren tussen 07:00 t/m 20:00,MAGAZIJN VAN SOEST,66839,0 %,Aad Vis,               ,500,5.000
Leveren tussen 09:00 t/m 11:00,BONINI MAURO,66313,0 %,Johan Kleinjan,               ,24,22.000
Leveren tussen 09:00 t/m 11:00,FRUITMASTERS VEILING,66945,0 %,Aad Vis,               ,66,19.800
Leveren tussen 09:00 t/m 11:00,VOG PRODUCTS,63043,0 %,Johan Kleinjan,               ,22,22.000
Leveren tussen 09:00 t/m 11:00,VOG PRODUCTS,63044,0 %,Johan Kleinjan,VOG 145,22,22.000
Leveren tussen 09:00 t/m 11:00,VOG PRODUCTS,65056,0 %,Johan Kleinjan,               ,103,20.600
Leveren tussen 10:00 t/m 13:30,ENERGY FOODINGREDIENTS,66865,0 %,Johan Kleinjan,               ,1,215
Leveren tussen 10:00 t/m 13:30,SONDERJANSEN,64664,0 %,Johan Kleinjan,               ,1.674,20.088
Leveren tussen 12:00 t/m 14:00,BOERMARKE B.V.,66777,0 %,Aad Vis,               ,40,800
-,KAMPOL-FRUIT SP. Z O.O.,65976,0 %,Johan Kleinjan,               ,840,21.000
-,POMELOS,66981,0 %,Johan Kleinjan,               ,1,12.000
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,64874,KLAAR,Oscar van Osenbruggen,Wagen 1 van 2,60,0
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,64875,KLAAR,Oscar van Osenbruggen,Wagen 2 van 2,60,0
Leveren tussen 07:00 t/m 12:00,BANNINK PACKAGING,64136,0 %,Wilbert Vallen,10600164,25.000,0
Leveren tussen 07:00 t/m 12:00,BLANA,64572,0 %,Antoon Appeldoorn,groep 156,800.000,0
Leveren tussen 07:00 t/m 12:00,BLANA,64626,0 %,Antoon Appeldoorn,groep 131,160.000,0
Leveren tussen 07:00 t/m 12:00,BLANA,64636,0 %,Antoon Appeldoorn,groep 14,54.000,0
Leveren tussen 07:00 t/m 20:00,"JUICE HOUSE, THE",64754,0 %,Aad Vis,IQF aardbei,836,20.900
Leveren tussen 07:00 t/m 20:00,MAGAZIJN VAN SOEST,64584,0 %,Aad Vis,Auto 1,120,19.200
Leveren tussen 09:00 t/m 11:00,ALCA TRADING CORPORATION,61740,0 %,Johan Kleinjan,ALCA-50195,160,40.000
Leveren tussen 09:00 t/m 11:00,FRUITMASTERS VEILING,64891,0 %,Aad Vis,Peren,15,4.500
-,B.M.P. BULK MEDICINES,64524,0 %,Aad Vis,               ,4,100
-,DE GROOT INTERNATIONAL B.V,64932,0 %,Aad Vis,               ,16,0
-,H&S COLDSTORES,64624,0 %,Aad Vis,Arca boxen,20,20.000
